trip_id,start_time,end_time,headway_secs,exact_times
R001-0-WD,05:00:00,06:30:00,600,0
R001-0-WD,06:30:00,09:00:00,240,0
R001-0-WD,09:00:00,16:00:00,360,0
R001-0-WD,16:00:00,19:00:00,240,0
R001-0-WD,19:00:00,22:00:00,480,0
R001-0-WD,22:00:00,24:30:00,900,0
R001-1-WD,05:00:00,06:30:00,600,0
R001-1-WD,06:30:00,09:00:00,240,0
R001-1-WD,09:00:00,16:00:00,360,0
R001-1-WD,16:00:00,19:00:00,240,0
R001-1-WD,19:00:00,22:00:00,480,0
R001-1-WD,22:00:00,24:30:00,900,0
R001-0-SA,06:00:00,09:00:00,720,0
R001-0-SA,09:00:00,20:00:00,480,0
R001-0-SA,20:00:00,25:00:00,900,0
R001-1-SA,06:00:00,09:00:00,720,0
R001-1-SA,09:00:00,20:00:00,480,0
R001-1-SA,20:00:00,25:00:00,900,0
R001-0-SU,06:30:00,09:00:00,900,0
R001-0-SU,09:00:00,20:00:00,600,0
R001-0-SU,20:00:00,24:00:00,900,0
R001-1-SU,06:30:00,09:00:00,900,0
R001-1-SU,09:00:00,20:00:00,600,0
R001-1-SU,20:00:00,24:00:00,900,0
R002-0-WD,05:00:00,06:30:00,600,0
R002-0-WD,06:30:00,09:00:00,240,0
R002-0-WD,09:00:00,16:00:00,360,0
R002-0-WD,16:00:00,19:00:00,240,0
R002-0-WD,19:00:00,22:00:00,480,0
R002-0-WD,22:00:00,24:30:00,900,0
R002-1-WD,05:00:00,06:30:00,600,0
R002-1-WD,06:30:00,09:00:00,240,0
R002-1-WD,09:00:00,16:00:00,360,0
R002-1-WD,16:00:00,19:00:00,240,0
R002-1-WD,19:00:00,22:00:00,480,0
R002-1-WD,22:00:00,24:30:00,900,0
R002-0-SA,06:00:00,09:00:00,720,0
R002-0-SA,09:00:00,20:00:00,480,0
R002-0-SA,20:00:00,25:00:00,900,0
R002-1-SA,06:00:00,09:00:00,720,0
R002-1-SA,09:00:00,20:00:00,480,0
R002-1-SA,20:00:00,25:00:00,900,0
R002-0-SU,06:30:00,09:00:00,900,0
R002-0-SU,09:00:00,20:00:00,600,0
R002-0-SU,20:00:00,24:00:00,900,0
R002-1-SU,06:30:00,09:00:00,900,0
R002-1-SU,09:00:00,20:00:00,600,0
R002-1-SU,20:00:00,24:00:00,900,0
R003-0-WD,05:00:00,06:30:00,600,0
R003-0-WD,06:30:00,09:00:00,240,0
