route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
R001,OST,M1,Larch Lane – Riverside Library,1,d2262c,FFFFFF
R002,OST,M2,Junction Arcade – Ivy Walk,1,1d4ed8,FFFFFF
R003,OST,M3,Juniper Road – Junction Row,1,0f8f4a,FFFFFF
R004,OST,M4,Pine Avenue – Riverside Barracks,1,e08a13,FFFFFF
R005,OST,S1,Larch Walk – Hillcrest Park,2,7c3aed,FFFFFF
R006,OST,S2,Greenfield Museum – Hazel Way,2,2563eb,FFFFFF
R007,OST,S3,Hillcrest Museum – Cedar Walk,2,059669,FFFFFF
R008,OST,S4,Holly Close – Larch Road,2,db2777,FFFFFF
R009,OST,1,Vinegrove Locks – Steelyard Yard,0,b45309,FFFFFF
R010,OST,2,Birch Terrace – Brickworks Works,0,8a5a2b,FFFFFF
R011,OST,3,Cedar Road – Northgate Tower,0,a3123f,FFFFFF
R012,OST,4,Southgate Steps – Marsh End Works,0,6d28d9,FFFFFF
R013,OST,5,Vinegrove Gate – Kestrel Park Rise,0,0e7490,FFFFFF
R014,OST,6,Willow Lane – Lakeside Priory,0,4d7c0f,FFFFFF
R015,OST,7,Walnut Street – Willow Crescent,0,be185d,FFFFFF
R016,OST,8,Willow Way – Holly Street,0,9a3412,FFFFFF
R017,OST,9,Vinegrove Museum – Kestrel Park Market,0,0369a1,FFFFFF
R018,OST,100,Lakeside Arcade – Fairmount Court,3,0f766e,FFFFFF
R019,OST,101,Greenfield Exchange – Birch Walk,3,0f766e,FFFFFF
R020,OST,102,Southgate Court – Harborside Crossing,3,0f766e,FFFFFF
R021,OST,103,Riverside Park – Fairmount Yard,3,0f766e,FFFFFF
R022,OST,104,Oldtown Locks – Westbridge Stadium,3,0f766e,FFFFFF
R023,OST,105,Lakeside Locks – Pine Road,3,0f766e,FFFFFF
R024,OST,106,Elmwood Green – Beech Crescent,3,0f766e,FFFFFF
R025,OST,107,Poplar Walk – Beech Walk,3,0f766e,FFFFFF
R026,OST,108,Lakeside Exchange – Junction Locks,3,0f766e,FFFFFF
R027,OST,109,Hillcrest Library – Steelyard Museum,3,0f766e,FFFFFF
R028,OST,110,Brickworks Locks – Lakeside Wharf,3,0f766e,FFFFFF
R029,OST,111,Harborside Chapel – Linden Terrace,3,0f766e,FFFFFF
R030,OST,112,Hillcrest Row – Harborside Junction,3,0f766e,FFFFFF
R031,OST,113,Hillcrest Hospital – Lakeside Cemetery,3,0f766e,FFFFFF
R032,OST,114,Brickworks Gate – Hillcrest Baths 2,3,0f766e,FFFFFF
R033,OST,115,Fairmount Hollow – Foundry Works,3,0f766e,FFFFFF
R034,OST,116,Vinegrove Chapel – Steelyard Stadium,3,0f766e,FFFFFF
R035,OST,117,Harborside Tower – Greenfield Circus,3,0f766e,FFFFFF
R036,OST,118,Westbridge Museum 2 – Harborside Hospital,3,0f766e,FFFFFF
R037,OST,119,Westbridge Terminal 4 – Brickworks Junction,3,0f766e,FFFFFF
R038,OST,120,Riverside Stadium – Kestrel Park Tower,3,0f766e,FFFFFF
R039,OST,121,Junction Park – Riverside Court,3,0f766e,FFFFFF
R040,OST,122,Greenfield Cemetery – Harborside Works,3,0f766e,FFFFFF
R041,OST,123,Westbridge Junction 2 – Foundry Baths 2,3,0f766e,FFFFFF
R042,OST,124,Foundry Court 3 – Fairmount School,3,0f766e,FFFFFF
R043,OST,125,Fairmount Terminal – Harborside Museum,3,0f766e,FFFFFF
R044,OST,126,Steelyard Exchange – Brickworks Yard 2,3,0f766e,FFFFFF
R045,OST,127,Marsh End Crossing 3 – Southgate Steps 2,3,0f766e,FFFFFF
R046,OST,128,Harborside Museum 2 – Greenfield Works,3,0f766e,FFFFFF
R047,OST,129,Fairmount Crossing 2 – Oldtown Museum 2,3,0f766e,FFFFFF
R048,OST,130,Southgate Museum 2 – Marsh End Depot 4,3,0f766e,FFFFFF
R049,OST,131,Foundry Stadium 2 – Harborside Steps 2,3,0f766e,FFFFFF
R050,OST,132,Steelyard Tower – Marsh End Library 2,3,0f766e,FFFFFF
R051,OST,133,Foundry Barracks – Kestrel Park Granary,3,0f766e,FFFFFF
R052,OST,134,Vinegrove Cemetery 2 – Foundry Halt,3,0f766e,FFFFFF
R053,OST,135,Steelyard Park – Junction Quay,3,0f766e,FFFFFF
R054,OST,136,Northgate Hospital 5 – Junction Hollow,3,0f766e,FFFFFF
R055,OST,137,Junction Fountain – Westbridge Rise 5,3,0f766e,FFFFFF
R056,OST,138,Kestrel Park Terminal – Brickworks Hospital 3,3,0f766e,FFFFFF
R057,OST,139,Hillcrest Tower 2 – Marsh End Crossing 5,3,0f766e,FFFFFF
R058,OST,140,Riverside Bridge – Brickworks Court 2,3,0f766e,FFFFFF
R059,OST,141,Junction Junction – Kestrel Park Depot 2,3,0f766e,FFFFFF
R060,OST,142,Westbridge Granary 2 – Brickworks Crossing 2,3,0f766e,FFFFFF
R061,OST,143,Lakeside Park 2 – Foundry Halt,3,0f766e,FFFFFF
R062,OST,144,Alder Lane – Foundry Hollow 5,3,0f766e,FFFFFF
R063,OST,145,Lakeside Hospital 2 – Foundry Rise 2,3,0f766e,FFFFFF
R064,OST,146,Junction Hospital 2 – Southgate Priory 3,3,0f766e,FFFFFF
R065,OST,147,Steelyard Museum 2 – Brickworks Terminal 2,3,0f766e,FFFFFF
R066,OST,148,Fairmount Halt 3 – Hillcrest Court 3,3,0f766e,FFFFFF
R067,OST,149,Oldtown Granary 2 – Junction Library 2,3,0f766e,FFFFFF
R068,OST,150,Hillcrest Mill 2 – Marsh End Depot 2,3,0f766e,FFFFFF
R069,OST,151,Hillcrest Terminal 3 – Brickworks School 5,3,0f766e,FFFFFF
R070,OST,152,Riverside Market – Kestrel Park Works 2,3,0f766e,FFFFFF
R071,OST,153,Junction Priory 2 – Foundry Junction 4,3,0f766e,FFFFFF
R072,OST,154,Oldtown Park 3 – Foundry Depot 3,3,0f766e,FFFFFF
R073,OST,155,Hillcrest Fountain 4 – Brickworks Green 4,3,0f766e,FFFFFF
R074,OST,156,Westbridge Chapel 2 – Hazel Avenue,3,0f766e,FFFFFF
R075,OST,157,Harborside Row 3 – Vinegrove Priory 2,3,0f766e,FFFFFF
R076,OST,158,Elmwood Works 2 – Foundry Works 2,3,0f766e,FFFFFF
R077,OST,159,Steelyard Gate 3 – Hillcrest Junction 5,3,0f766e,FFFFFF
R078,OST,160,Northgate Museum 3 – Hillcrest Baths 3,3,0f766e,FFFFFF
R079,OST,161,Northgate Chapel 4 – Riverside Rise,3,0f766e,FFFFFF
R080,OST,162,Westbridge Stadium – Elmwood Row 5,3,0f766e,FFFFFF
R081,OST,163,Marsh End Barracks 4 – Walnut Avenue,3,0f766e,FFFFFF
R082,OST,164,Marsh End Priory 4 – Steelyard Bridge 2,3,0f766e,FFFFFF
R083,OST,165,Greenfield Hospital – Hillcrest Works 3,3,0f766e,FFFFFF
R084,OST,166,Foundry Cemetery 4 – Northgate Court 2,3,0f766e,FFFFFF
R085,OST,167,Fairmount Chapel 2 – Northgate Chapel 5,3,0f766e,FFFFFF
R086,OST,168,Poplar Crescent – Harborside Tower 2,3,0f766e,FFFFFF
R087,OST,169,Southgate Museum 4 – Junction Wharf 2,3,0f766e,FFFFFF
R088,OST,170,Kestrel Park Depot – Vinegrove Chapel 4,3,0f766e,FFFFFF
R089,OST,171,Kestrel Park School 4 – Brickworks Court 2,3,0f766e,FFFFFF
R090,OST,172,Brickworks Museum 3 – Riverside Steps,3,0f766e,FFFFFF
R091,OST,173,Foundry Arcade 4 – Junction Market 5,3,0f766e,FFFFFF
R092,OST,174,Fairmount Chapel 3 – Westbridge Quay 5,3,0f766e,FFFFFF
R093,OST,175,Oldtown Halt 3 – Riverside Cemetery,3,0f766e,FFFFFF
R094,OST,176,Kestrel Park Terminal – Pine Crescent,3,0f766e,FFFFFF
R095,OST,177,Steelyard Quay 2 – Hillcrest Green 3,3,0f766e,FFFFFF
