trip_id,arrival_time,departure_time,stop_id,stop_sequence
R001-0-WD,06:00:00,06:00:00,S00001,1
R001-0-WD,06:01:55,06:01:55,S00002,2
R001-0-WD,06:03:50,06:03:50,S00003,3
R001-0-WD,06:05:45,06:05:45,S00004,4
R001-0-WD,06:07:40,06:07:40,S00005,5
R001-0-WD,06:09:35,06:09:35,S00006,6
R001-0-WD,06:11:30,06:11:30,S00007,7
R001-0-WD,06:15:00,06:15:00,S00008,8
R001-0-WD,06:16:55,06:16:55,S00009,9
R001-0-WD,06:18:50,06:18:50,S00010,10
R001-0-WD,06:20:45,06:20:45,S00011,11
R001-0-WD,06:22:40,06:22:40,S00012,12
R001-0-WD,06:24:35,06:24:35,S00013,13
R001-0-WD,06:26:30,06:26:30,S00014,14
R001-0-WD,06:28:25,06:28:25,S00015,15
R001-0-WD,06:30:20,06:30:20,S00016,16
R001-0-WD,06:32:15,06:32:15,S00017,17
R001-0-WD,06:34:10,06:34:10,S00018,18
R001-1-WD,06:00:00,06:00:00,S00018,1
R001-1-WD,06:01:55,06:01:55,S00017,2
R001-1-WD,06:03:50,06:03:50,S00016,3
R001-1-WD,06:05:45,06:05:45,S00015,4
R001-1-WD,06:07:40,06:07:40,S00014,5
R001-1-WD,06:09:35,06:09:35,S00013,6
R001-1-WD,06:11:30,06:11:30,S00012,7
R001-1-WD,06:13:25,06:13:25,S00011,8
R001-1-WD,06:15:20,06:15:20,S00010,9
R001-1-WD,06:17:15,06:17:15,S00009,10
R001-1-WD,06:19:10,06:19:10,S00008,11
R001-1-WD,06:22:40,06:22:40,S00007,12
R001-1-WD,06:24:35,06:24:35,S00006,13
R001-1-WD,06:26:30,06:26:30,S00005,14
R001-1-WD,06:28:25,06:28:25,S00004,15
R001-1-WD,06:30:20,06:30:20,S00003,16
R001-1-WD,06:32:15,06:32:15,S00002,17
R001-1-WD,06:34:10,06:34:10,S00001,18
R001-0-SA,06:00:00,06:00:00,S00001,1
R001-0-SA,06:01:55,06:01:55,S00002,2
R001-0-SA,06:03:50,06:03:50,S00003,3
R001-0-SA,06:05:45,06:05:45,S00004,4
R001-0-SA,06:07:40,06:07:40,S00005,5
R001-0-SA,06:09:35,06:09:35,S00006,6
R001-0-SA,06:11:30,06:11:30,S00007,7
R001-0-SA,06:15:00,06:15:00,S00008,8
R001-0-SA,06:16:55,06:16:55,S00009,9
R001-0-SA,06:18:50,06:18:50,S00010,10
R001-0-SA,06:20:45,06:20:45,S00011,11
R001-0-SA,06:22:40,06:22:40,S00012,12
R001-0-SA,06:24:35,06:24:35,S00013,13
R001-0-SA,06:26:30,06:26:30,S00014,14
R001-0-SA,06:28:25,06:28:25,S00015,15
R001-0-SA,06:30:20,06:30:20,S00016,16
R001-0-SA,06:32:15,06:32:15,S00017,17
R001-0-SA,06:34:10,06:34:10,S00018,18
R001-1-SA,06:00:00,06:00:00,S00018,1
R001-1-SA,06:01:55,06:01:55,S00017,2
R001-1-SA,06:03:50,06:03:50,S00016,3
R001-1-SA,06:05:45,06:05:45,S00015,4
R001-1-SA,06:07:40,06:07:40,S00014,5
R001-1-SA,06:09:35,06:09:35,S00013,6
R001-1-SA,06:11:30,06:11:30,S00012,7
R001-1-SA,06:13:25,06:13:25,S00011,8
R001-1-SA,06:15:20,06:15:20,S00010,9
R001-1-SA,06:17:15,06:17:15,S00009,10
R001-1-SA,06:19:10,06:19:10,S00008,11
R001-1-SA,06:22:40,06:22:40,S00007,12
R001-1-SA,06:24:35,06:24:35,S00006,13
R001-1-SA,06:26:30,06:26:30,S00005,14
R001-1-SA,06:28:25,06:28:25,S00004,15
R001-1-SA,06:30:20,06:30:20,S00003,16
R001-1-SA,06:32:15,06:32:15,S00002,17
R001-1-SA,06:34:10,06:34:10,S00001,18
R001-0-SU,06:00:00,06:00:00,S00001,1
R001-0-SU,06:01:55,06:01:55,S00002,2
R001-0-SU,06:03:50,06:03:50,S00003,3
R001-0-SU,06:05:45,06:05:45,S00004,4
R001-0-SU,06:07:40,06:07:40,S00005,5
R001-0-SU,06:09:35,06:09:35,S00006,6
R001-0-SU,06:11:30,06:11:30,S00007,7
R001-0-SU,06:15:00,06:15:00,S00008,8
R001-0-SU,06:16:55,06:16:55,S00009,9
R001-0-SU,06:18:50,06:18:50,S00010,10
R001-0-SU,06:20:45,06:20:45,S00011,11
R001-0-SU,06:22:40,06:22:40,S00012,12
R001-0-SU,06:24:35,06:24:35,S00013,13
R001-0-SU,06:26:30,06:26:30,S00014,14
R001-0-SU,06:28:25,06:28:25,S00015,15
R001-0-SU,06:30:20,06:30:20,S00016,16
R001-0-SU,06:32:15,06:32:15,S00017,17
R001-0-SU,06:34:10,06:34:10,S00018,18
R001-1-SU,06:00:00,06:00:00,S00018,1
R001-1-SU,06:01:55,06:01:55,S00017,2
R001-1-SU,06:03:50,06:03:50,S00016,3
R001-1-SU,06:05:45,06:05:45,S00015,4
R001-1-SU,06:07:40,06:07:40,S00014,5
R001-1-SU,06:09:35,06:09:35,S00013,6
R001-1-SU,06:11:30,06:11:30,S00012,7
R001-1-SU,06:13:25,06:13:25,S00011,8
R001-1-SU,06:15:20,06:15:20,S00010,9
R001-1-SU,06:17:15,06:17:15,S00009,10
R001-1-SU,06:19:10,06:19:10,S00008,11
R001-1-SU,06:22:40,06:22:40,S00007,12
R001-1-SU,06:24:35,06:24:35,S00006,13
R001-1-SU,06:26:30,06:26:30,S00005,14
R001-1-SU,06:28:25,06:28:25,S00004,15
R001-1-SU,06:30:20,06:30:20,S00003,16
R001-1-SU,06:32:15,06:32:15,S00002,17
R001-1-SU,06:34:10,06:34:10,S00001,18
R002-0-WD,06:00:00,06:00:00,S00019,1
R002-0-WD,06:01:55,06:01:55,S00020,2
R002-0-WD,06:03:50,06:03:50,S00021,3
R002-0-WD,06:05:45,06:05:45,S00022,4
R002-0-WD,06:07:40,06:07:40,S00023,5
R002-0-WD,06:09:35,06:09:35,S00024,6
R002-0-WD,06:11:30,06:11:30,S00025,7
R002-0-WD,06:13:25,06:13:25,S00026,8
R002-0-WD,06:15:20,06:15:20,S00027,9
R002-0-WD,06:17:15,06:17:15,S00028,10
R002-0-WD,06:19:10,06:19:10,S00029,11
R002-0-WD,06:21:05,06:21:05,S00030,12
R002-0-WD,06:23:00,06:23:00,S00031,13
R002-0-WD,06:24:55,06:24:55,S00032,14
R002-0-WD,06:26:50,06:26:50,S00033,15
R002-0-WD,06:28:45,06:28:45,S00034,16
R002-0-WD,06:30:40,06:30:40,S00035,17
R002-0-WD,06:32:35,06:32:35,S00036,18
R002-0-WD,06:34:30,06:34:30,S00037,19
R002-1-WD,06:00:00,06:00:00,S00037,1
R002-1-WD,06:01:55,06:01:55,S00036,2
R002-1-WD,06:03:50,06:03:50,S00035,3
R002-1-WD,06:05:45,06:05:45,S00034,4
R002-1-WD,06:07:40,06:07:40,S00033,5
R002-1-WD,06:09:35,06:09:35,S00032,6
R002-1-WD,06:11:30,06:11:30,S00031,7
R002-1-WD,06:13:25,06:13:25,S00030,8
R002-1-WD,06:15:20,06:15:20,S00029,9
R002-1-WD,06:17:15,06:17:15,S00028,10
R002-1-WD,06:19:10,06:19:10,S00027,11
R002-1-WD,06:21:05,06:21:05,S00026,12
R002-1-WD,06:23:00,06:23:00,S00025,13
R002-1-WD,06:24:55,06:24:55,S00024,14
R002-1-WD,06:26:50,06:26:50,S00023,15
R002-1-WD,06:28:45,06:28:45,S00022,16
R002-1-WD,06:30:40,06:30:40,S00021,17
R002-1-WD,06:32:35,06:32:35,S00020,18
R002-1-WD,06:34:30,06:34:30,S00019,19
R002-0-SA,06:00:00,06:00:00,S00019,1
R002-0-SA,06:01:55,06:01:55,S00020,2
R002-0-SA,06:03:50,06:03:50,S00021,3
R002-0-SA,06:05:45,06:05:45,S00022,4
R002-0-SA,06:07:40,06:07:40,S00023,5
R002-0-SA,06:09:35,06:09:35,S00024,6
R002-0-SA,06:11:30,06:11:30,S00025,7
R002-0-SA,06:13:25,06:13:25,S00026,8
R002-0-SA,06:15:20,06:15:20,S00027,9
R002-0-SA,06:17:15,06:17:15,S00028,10
R002-0-SA,06:19:10,06:19:10,S00029,11
R002-0-SA,06:21:05,06:21:05,S00030,12
R002-0-SA,06:23:00,06:23:00,S00031,13
R002-0-SA,06:24:55,06:24:55,S00032,14
R002-0-SA,06:26:50,06:26:50,S00033,15
R002-0-SA,06:28:45,06:28:45,S00034,16
R002-0-SA,06:30:40,06:30:40,S00035,17
R002-0-SA,06:32:35,06:32:35,S00036,18
R002-0-SA,06:34:30,06:34:30,S00037,19
R002-1-SA,06:00:00,06:00:00,S00037,1
R002-1-SA,06:01:55,06:01:55,S00036,2
R002-1-SA,06:03:50,06:03:50,S00035,3
R002-1-SA,06:05:45,06:05:45,S00034,4
R002-1-SA,06:07:40,06:07:40,S00033,5
R002-1-SA,06:09:35,06:09:35,S00032,6
R002-1-SA,06:11:30,06:11:30,S00031,7
R002-1-SA,06:13:25,06:13:25,S00030,8
R002-1-SA,06:15:20,06:15:20,S00029,9
R002-1-SA,06:17:15,06:17:15,S00028,10
R002-1-SA,06:19:10,06:19:10,S00027,11
R002-1-SA,06:21:05,06:21:05,S00026,12
R002-1-SA,06:23:00,06:23:00,S00025,13
R002-1-SA,06:24:55,06:24:55,S00024,14
R002-1-SA,06:26:50,06:26:50,S00023,15
R002-1-SA,06:28:45,06:28:45,S00022,16
R002-1-SA,06:30:40,06:30:40,S00021,17
R002-1-SA,06:32:35,06:32:35,S00020,18
R002-1-SA,06:34:30,06:34:30,S00019,19
R002-0-SU,06:00:00,06:00:00,S00019,1
R002-0-SU,06:01:55,06:01:55,S00020,2
R002-0-SU,06:03:50,06:03:50,S00021,3
R002-0-SU,06:05:45,06:05:45,S00022,4
R002-0-SU,06:07:40,06:07:40,S00023,5
R002-0-SU,06:09:35,06:09:35,S00024,6
R002-0-SU,06:11:30,06:11:30,S00025,7
R002-0-SU,06:13:25,06:13:25,S00026,8
R002-0-SU,06:15:20,06:15:20,S00027,9
R002-0-SU,06:17:15,06:17:15,S00028,10
R002-0-SU,06:19:10,06:19:10,S00029,11
R002-0-SU,06:21:05,06:21:05,S00030,12
R002-0-SU,06:23:00,06:23:00,S00031,13
R002-0-SU,06:24:55,06:24:55,S00032,14
R002-0-SU,06:26:50,06:26:50,S00033,15
R002-0-SU,06:28:45,06:28:45,S00034,16
R002-0-SU,06:30:40,06:30:40,S00035,17
R002-0-SU,06:32:35,06:32:35,S00036,18
R002-0-SU,06:34:30,06:34:30,S00037,19
R002-1-SU,06:00:00,06:00:00,S00037,1
R002-1-SU,06:01:55,06:01:55,S00036,2
R002-1-SU,06:03:50,06:03:50,S00035,3
R002-1-SU,06:05:45,06:05:45,S00034,4
R002-1-SU,06:07:40,06:07:40,S00033,5
R002-1-SU,06:09:35,06:09:35,S00032,6
R002-1-SU,06:11:30,06:11:30,S00031,7
R002-1-SU,06:13:25,06:13:25,S00030,8
R002-1-SU,06:15:20,06:15:20,S00029,9
R002-1-SU,06:17:15,06:17:15,S00028,10
R002-1-SU,06:19:10,06:19:10,S00027,11
R002-1-SU,06:21:05,06:21:05,S00026,12
R002-1-SU,06:23:00,06:23:00,S00025,13
R002-1-SU,06:24:55,06:24:55,S00024,14
R002-1-SU,06:26:50,06:26:50,S00023,15
R002-1-SU,06:28:45,06:28:45,S00022,16
R002-1-SU,06:30:40,06:30:40,S00021,17
R002-1-SU,06:32:35,06:32:35,S00020,18
R002-1-SU,06:34:30,06:34:30,S00019,19
R003-0-WD,06:00:00,06:00:00,S00038,1
R003-0-WD,06:01:55,06:01:55,S00039,2
R003-0-WD,06:03:50,06:03:50,S00040,3
R003-0-WD,06:05:45,06:05:45,S00041,4
R003-0-WD,06:07:40,06:07:40,S00042,5
R003-0-WD,06:09:35,06:09:35,S00043,6
R003-0-WD,06:11:30,06:11:30,S00044,7
R003-0-WD,06:13:25,06:13:25,S00045,8
R003-0-WD,06:15:20,06:15:20,S00046,9
R003-0-WD,06:17:15,06:17:15,S00047,10
R003-0-WD,06:20:45,06:20:45,S00048,11
R003-0-WD,06:22:40,06:22:40,S00049,12
R003-0-WD,06:24:35,06:24:35,S00050,13
R003-0-WD,06:26:30,06:26:30,S00051,14
R003-0-WD,06:28:25,06:28:25,S00052,15
R003-0-WD,06:30:20,06:30:20,S00053,16
R003-0-WD,06:32:15,06:32:15,S00054,17
R003-0-WD,06:34:10,06:34:10,S00055,18
R003-1-WD,06:00:00,06:00:00,S00055,1
R003-1-WD,06:01:55,06:01:55,S00054,2
R003-1-WD,06:03:50,06:03:50,S00053,3
R003-1-WD,06:05:45,06:05:45,S00052,4
R003-1-WD,06:07:40,06:07:40,S00051,5
R003-1-WD,06:09:35,06:09:35,S00050,6
R003-1-WD,06:11:30,06:11:30,S00049,7
R003-1-WD,06:13:25,06:13:25,S00048,8
R003-1-WD,06:16:55,06:16:55,S00047,9
R003-1-WD,06:18:50,06:18:50,S00046,10
R003-1-WD,06:20:45,06:20:45,S00045,11
R003-1-WD,06:22:40,06:22:40,S00044,12
R003-1-WD,06:24:35,06:24:35,S00043,13
R003-1-WD,06:26:30,06:26:30,S00042,14
R003-1-WD,06:28:25,06:28:25,S00041,15
R003-1-WD,06:30:20,06:30:20,S00040,16
R003-1-WD,06:32:15,06:32:15,S00039,17
R003-1-WD,06:34:10,06:34:10,S00038,18
R003-0-SA,06:00:00,06:00:00,S00038,1
R003-0-SA,06:01:55,06:01:55,S00039,2
R003-0-SA,06:03:50,06:03:50,S00040,3
R003-0-SA,06:05:45,06:05:45,S00041,4
R003-0-SA,06:07:40,06:07:40,S00042,5
R003-0-SA,06:09:35,06:09:35,S00043,6
R003-0-SA,06:11:30,06:11:30,S00044,7
R003-0-SA,06:13:25,06:13:25,S00045,8
R003-0-SA,06:15:20,06:15:20,S00046,9
R003-0-SA,06:17:15,06:17:15,S00047,10
R003-0-SA,06:20:45,06:20:45,S00048,11
R003-0-SA,06:22:40,06:22:40,S00049,12
R003-0-SA,06:24:35,06:24:35,S00050,13
R003-0-SA,06:26:30,06:26:30,S00051,14
R003-0-SA,06:28:25,06:28:25,S00052,15
R003-0-SA,06:30:20,06:30:20,S00053,16
R003-0-SA,06:32:15,06:32:15,S00054,17
R003-0-SA,06:34:10,06:34:10,S00055,18
R003-1-SA,06:00:00,06:00:00,S00055,1
R003-1-SA,06:01:55,06:01:55,S00054,2
R003-1-SA,06:03:50,06:03:50,S00053,3
R003-1-SA,06:05:45,06:05:45,S00052,4
R003-1-SA,06:07:40,06:07:40,S00051,5
R003-1-SA,06:09:35,06:09:35,S00050,6
R003-1-SA,06:11:30,06:11:30,S00049,7
R003-1-SA,06:13:25,06:13:25,S00048,8
R003-1-SA,06:16:55,06:16:55,S00047,9
R003-1-SA,06:18:50,06:18:50,S00046,10
R003-1-SA,06:20:45,06:20:45,S00045,11
R003-1-SA,06:22:40,06:22:40,S00044,12
R003-1-SA,06:24:35,06:24:35,S00043,13
R003-1-SA,06:26:30,06:26:30,S00042,14
R003-1-SA,06:28:25,06:28:25,S00041,15
R003-1-SA,06:30:20,06:30:20,S00040,16
R003-1-SA,06:32:15,06:32:15,S00039,17
R003-1-SA,06:34:10,06:34:10,S00038,18
R003-0-SU,06:00:00,06:00:00,S00038,1
R003-0-SU,06:01:55,06:01:55,S00039,2
R003-0-SU,06:03:50,06:03:50,S00040,3
R003-0-SU,06:05:45,06:05:45,S00041,4
R003-0-SU,06:07:40,06:07:40,S00042,5
R003-0-SU,06:09:35,06:09:35,S00043,6
R003-0-SU,06:11:30,06:11:30,S00044,7
R003-0-SU,06:13:25,06:13:25,S00045,8
R003-0-SU,06:15:20,06:15:20,S00046,9
R003-0-SU,06:17:15,06:17:15,S00047,10
R003-0-SU,06:20:45,06:20:45,S00048,11
R003-0-SU,06:22:40,06:22:40,S00049,12
R003-0-SU,06:24:35,06:24:35,S00050,13
R003-0-SU,06:26:30,06:26:30,S00051,14
R003-0-SU,06:28:25,06:28:25,S00052,15
R003-0-SU,06:30:20,06:30:20,S00053,16
R003-0-SU,06:32:15,06:32:15,S00054,17
R003-0-SU,06:34:10,06:34:10,S00055,18
R003-1-SU,06:00:00,06:00:00,S00055,1
R003-1-SU,06:01:55,06:01:55,S00054,2
R003-1-SU,06:03:50,06:03:50,S00053,3
R003-1-SU,06:05:45,06:05:45,S00052,4
R003-1-SU,06:07:40,06:07:40,S00051,5
R003-1-SU,06:09:35,06:09:35,S00050,6
R003-1-SU,06:11:30,06:11:30,S00049,7
R003-1-SU,06:13:25,06:13:25,S00048,8
R003-1-SU,06:16:55,06:16:55,S00047,9
R003-1-SU,06:18:50,06:18:50,S00046,10
R003-1-SU,06:20:45,06:20:45,S00045,11
R003-1-SU,06:22:40,06:22:40,S00044,12
R003-1-SU,06:24:35,06:24:35,S00043,13
R003-1-SU,06:26:30,06:26:30,S00042,14
R003-1-SU,06:28:25,06:28:25,S00041,15
R003-1-SU,06:30:20,06:30:20,S00040,16
R003-1-SU,06:32:15,06:32:15,S00039,17
R003-1-SU,06:34:10,06:34:10,S00038,18
R004-0-WD,06:00:00,06:00:00,S00056,1
R004-0-WD,06:01:55,06:01:55,S00057,2
R004-0-WD,06:03:50,06:03:50,S00058,3
R004-0-WD,06:05:45,06:05:45,S00059,4
R004-0-WD,06:07:40,06:07:40,S00060,5
R004-0-WD,06:09:35,06:09:35,S00061,6
R004-0-WD,06:11:30,06:11:30,S00062,7
R004-0-WD,06:13:25,06:13:25,S00063,8
R004-0-WD,06:16:55,06:16:55,S00064,9
R004-0-WD,06:18:50,06:18:50,S00065,10
R004-0-WD,06:20:45,06:20:45,S00066,11
R004-0-WD,06:22:40,06:22:40,S00067,12
R004-0-WD,06:24:35,06:24:35,S00068,13
R004-0-WD,06:26:30,06:26:30,S00069,14
R004-0-WD,06:28:25,06:28:25,S00070,15
R004-0-WD,06:30:20,06:30:20,S00071,16
R004-0-WD,06:32:15,06:32:15,S00072,17
R004-0-WD,06:34:10,06:34:10,S00073,18
R004-1-WD,06:00:00,06:00:00,S00073,1
R004-1-WD,06:01:55,06:01:55,S00072,2
R004-1-WD,06:03:50,06:03:50,S00071,3
R004-1-WD,06:05:45,06:05:45,S00070,4
R004-1-WD,06:07:40,06:07:40,S00069,5
R004-1-WD,06:09:35,06:09:35,S00068,6
R004-1-WD,06:11:30,06:11:30,S00067,7
R004-1-WD,06:13:25,06:13:25,S00066,8
R004-1-WD,06:15:20,06:15:20,S00065,9
R004-1-WD,06:17:15,06:17:15,S00064,10
R004-1-WD,06:20:45,06:20:45,S00063,11
R004-1-WD,06:22:40,06:22:40,S00062,12
R004-1-WD,06:24:35,06:24:35,S00061,13
R004-1-WD,06:26:30,06:26:30,S00060,14
R004-1-WD,06:28:25,06:28:25,S00059,15
R004-1-WD,06:30:20,06:30:20,S00058,16
R004-1-WD,06:32:15,06:32:15,S00057,17
R004-1-WD,06:34:10,06:34:10,S00056,18
R004-0-SA,06:00:00,06:00:00,S00056,1
R004-0-SA,06:01:55,06:01:55,S00057,2
R004-0-SA,06:03:50,06:03:50,S00058,3
R004-0-SA,06:05:45,06:05:45,S00059,4
R004-0-SA,06:07:40,06:07:40,S00060,5
R004-0-SA,06:09:35,06:09:35,S00061,6
R004-0-SA,06:11:30,06:11:30,S00062,7
R004-0-SA,06:13:25,06:13:25,S00063,8
R004-0-SA,06:16:55,06:16:55,S00064,9
R004-0-SA,06:18:50,06:18:50,S00065,10
R004-0-SA,06:20:45,06:20:45,S00066,11
R004-0-SA,06:22:40,06:22:40,S00067,12
R004-0-SA,06:24:35,06:24:35,S00068,13
R004-0-SA,06:26:30,06:26:30,S00069,14
R004-0-SA,06:28:25,06:28:25,S00070,15
R004-0-SA,06:30:20,06:30:20,S00071,16
R004-0-SA,06:32:15,06:32:15,S00072,17
R004-0-SA,06:34:10,06:34:10,S00073,18
R004-1-SA,06:00:00,06:00:00,S00073,1
R004-1-SA,06:01:55,06:01:55,S00072,2
R004-1-SA,06:03:50,06:03:50,S00071,3
R004-1-SA,06:05:45,06:05:45,S00070,4
R004-1-SA,06:07:40,06:07:40,S00069,5
R004-1-SA,06:09:35,06:09:35,S00068,6
R004-1-SA,06:11:30,06:11:30,S00067,7
R004-1-SA,06:13:25,06:13:25,S00066,8
R004-1-SA,06:15:20,06:15:20,S00065,9
R004-1-SA,06:17:15,06:17:15,S00064,10
R004-1-SA,06:20:45,06:20:45,S00063,11
R004-1-SA,06:22:40,06:22:40,S00062,12
R004-1-SA,06:24:35,06:24:35,S00061,13
R004-1-SA,06:26:30,06:26:30,S00060,14
R004-1-SA,06:28:25,06:28:25,S00059,15
R004-1-SA,06:30:20,06:30:20,S00058,16
R004-1-SA,06:32:15,06:32:15,S00057,17
R004-1-SA,06:34:10,06:34:10,S00056,18
R004-0-SU,06:00:00,06:00:00,S00056,1
R004-0-SU,06:01:55,06:01:55,S00057,2
R004-0-SU,06:03:50,06:03:50,S00058,3
