stop_id,stop_name,stop_lat,stop_lon,zone_id
S00001,Larch Lane,49.077189,12.492598,Greenfield
S00002,Poplar Avenue,49.068724,12.494366,Steelyard
S00003,Steelyard Junction,49.06026,12.496137,Steelyard
S00004,Steelyard Library,49.051794,12.497885,Steelyard
S00005,Ash Walk,49.043324,12.499593,Kestrel Park
S00006,Elm Crescent,49.034848,12.501234,Kestrel Park
S00007,Oldtown Priory,49.026368,12.502822,Oldtown
S00008,Oak Crescent,49.009398,12.505864,Oldtown
S00009,Larch Terrace,49.000908,12.507315,Oldtown
S00010,Oldtown Terminal,48.992413,12.508712,Oldtown
S00011,Elmwood Hospital,48.983915,12.510049,Elmwood
S00012,Cedar Lane,48.975414,12.511344,Elmwood
S00013,Beech Road,48.966911,12.51261,Vinegrove
S00014,Vinegrove Terminal,48.958407,12.513859,Vinegrove
S00015,Vinegrove Library,48.949901,12.515078,Vinegrove
S00016,Hazel Avenue,48.941393,12.516269,Vinegrove
S00017,Vinegrove Junction,48.932885,12.517443,Vinegrove
S00018,Riverside Library,48.924376,12.518611,Riverside
S00019,Junction Arcade,49.012099,12.616437,Junction
S00020,Junction Crossing,49.01098,12.603523,Junction
S00021,Sycamore Avenue,49.009857,12.590611,Harborside
S00022,Marsh End Junction,49.008761,12.577694,Marsh End
S00023,Marsh End Common,49.007719,12.564766,Marsh End
S00024,Marsh End Crossing,49.006773,12.551822,Marsh End
S00025,Ash Terrace,49.005953,12.538858,Marsh End
S00026,Juniper Lane,49.005217,12.525883,Marsh End
S00027,Juniper Close,49.004518,12.512903,Oldtown
S00028,Oldtown Halt,49.003807,12.499924,Oldtown
S00029,Oldtown Depot,49.003068,12.48695,Oldtown
S00030,Poplar Street,49.002356,12.473972,Westbridge
S00031,Maple Road,49.001637,12.460995,Westbridge
S00032,Cedar Close,49.000856,12.448027,Westbridge
S00033,Westbridge Observatory,48.999965,12.435075,Westbridge
S00034,Southgate Observatory,48.998931,12.422149,Southgate
S00035,Southgate Rise,48.997808,12.40924,Southgate
S00036,Southgate Works,48.996636,12.396341,Southgate
S00037,Ivy Walk,48.995445,12.383446,Southgate
