route_id,service_id,trip_id,trip_headsign,direction_id
R001,WD,R001-0-WD,Riverside Library,0
R001,WD,R001-1-WD,Larch Lane,1
R001,SA,R001-0-SA,Riverside Library,0
R001,SA,R001-1-SA,Larch Lane,1
R001,SU,R001-0-SU,Riverside Library,0
R001,SU,R001-1-SU,Larch Lane,1
R002,WD,R002-0-WD,Ivy Walk,0
R002,WD,R002-1-WD,Junction Arcade,1
R002,SA,R002-0-SA,Ivy Walk,0
R002,SA,R002-1-SA,Junction Arcade,1
R002,SU,R002-0-SU,Ivy Walk,0
R002,SU,R002-1-SU,Junction Arcade,1
R003,WD,R003-0-WD,Junction Row,0
R003,WD,R003-1-WD,Juniper Road,1
R003,SA,R003-0-SA,Junction Row,0
R003,SA,R003-1-SA,Juniper Road,1
R003,SU,R003-0-SU,Junction Row,0
R003,SU,R003-1-SU,Juniper Road,1
R004,WD,R004-0-WD,Riverside Barracks,0
R004,WD,R004-1-WD,Pine Avenue,1
R004,SA,R004-0-SA,Riverside Barracks,0
R004,SA,R004-1-SA,Pine Avenue,1
R004,SU,R004-0-SU,Riverside Barracks,0
R004,SU,R004-1-SU,Pine Avenue,1
R005,WD,R005-0-WD-001,Hillcrest Park,0
R005,WD,R005-0-WD-002,Hillcrest Park,0
R005,WD,R005-0-WD-003,Hillcrest Park,0
R005,WD,R005-0-WD-004,Hillcrest Park,0
R005,WD,R005-0-WD-005,Hillcrest Park,0
R005,WD,R005-0-WD-006,Hillcrest Park,0
R005,WD,R005-0-WD-007,Hillcrest Park,0
R005,WD,R005-0-WD-008,Hillcrest Park,0
R005,WD,R005-0-WD-009,Hillcrest Park,0
R005,WD,R005-0-WD-010,Hillcrest Park,0
R005,WD,R005-0-WD-011,Hillcrest Park,0
R005,WD,R005-0-WD-012,Hillcrest Park,0
R005,WD,R005-0-WD-013,Hillcrest Park,0
R005,WD,R005-0-WD-014,Hillcrest Park,0
R005,WD,R005-0-WD-015,Hillcrest Park,0
R005,WD,R005-0-WD-016,Hillcrest Park,0
R005,WD,R005-0-WD-017,Hillcrest Park,0
R005,WD,R005-0-WD-018,Hillcrest Park,0
R005,WD,R005-0-WD-019,Hillcrest Park,0
R005,WD,R005-0-WD-020,Hillcrest Park,0
R005,WD,R005-0-WD-021,Hillcrest Park,0
R005,WD,R005-0-WD-022,Hillcrest Park,0
R005,WD,R005-0-WD-023,Hillcrest Park,0
R005,WD,R005-0-WD-024,Hillcrest Park,0
R005,WD,R005-0-WD-025,Hillcrest Park,0
R005,WD,R005-0-WD-026,Hillcrest Park,0
R005,WD,R005-0-WD-027,Hillcrest Park,0
R005,WD,R005-0-WD-028,Hillcrest Park,0
R005,WD,R005-0-WD-029,Hillcrest Park,0
R005,WD,R005-0-WD-030,Hillcrest Park,0
R005,WD,R005-0-WD-031,Hillcrest Park,0
R005,WD,R005-0-WD-032,Hillcrest Park,0
R005,WD,R005-0-WD-033,Hillcrest Park,0
R005,WD,R005-0-WD-034,Hillcrest Park,0
R005,WD,R005-0-WD-035,Hillcrest Park,0
R005,WD,R005-0-WD-036,Hillcrest Park,0
R005,WD,R005-0-WD-037,Hillcrest Park,0
R005,WD,R005-0-WD-038,Hillcrest Park,0
R005,WD,R005-0-WD-039,Hillcrest Park,0
R005,WD,R005-0-WD-040,Hillcrest Park,0
R005,WD,R005-0-WD-041,Hillcrest Park,0
R005,WD,R005-0-WD-042,Hillcrest Park,0
R005,WD,R005-0-WD-043,Hillcrest Park,0
R005,WD,R005-0-WD-044,Hillcrest Park,0
R005,WD,R005-0-WD-045,Hillcrest Park,0
R005,WD,R005-0-WD-046,Hillcrest Park,0
R005,WD,R005-0-WD-047,Hillcrest Park,0
R005,WD,R005-0-WD-048,Hillcrest Park,0
R005,WD,R005-0-WD-049,Hillcrest Park,0
R005,WD,R005-0-WD-050,Hillcrest Park,0
R005,WD,R005-1-WD-001,Larch Walk,1
R005,WD,R005-1-WD-002,Larch Walk,1
R005,WD,R005-1-WD-003,Larch Walk,1
R005,WD,R005-1-WD-004,Larch Walk,1
R005,WD,R005-1-WD-005,Larch Walk,1
R005,WD,R005-1-WD-006,Larch Walk,1
R005,WD,R005-1-WD-007,Larch Walk,1
R005,WD,R005-1-WD-008,Larch Walk,1
R005,WD,R005-1-WD-009,Larch Walk,1
R005,WD,R005-1-WD-010,Larch Walk,1
R005,WD,R005-1-WD-011,Larch Walk,1
R005,WD,R005-1-WD-012,Larch Walk,1
R005,WD,R005-1-WD-013,Larch Walk,1
R005,WD,R005-1-WD-014,Larch Walk,1
R005,WD,R005-1-WD-015,Larch Walk,1
R005,WD,R005-1-WD-016,Larch Walk,1
R005,WD,R005-1-WD-017,Larch Walk,1
R005,WD,R005-1-WD-018,Larch Walk,1
R005,WD,R005-1-WD-019,Larch Walk,1
R005,WD,R005-1-WD-020,Larch Walk,1
R005,WD,R005-1-WD-021,Larch Walk,1
R005,WD,R005-1-WD-022,Larch Walk,1
R005,WD,R005-1-WD-023,Larch Walk,1
R005,WD,R005-1-WD-024,Larch Walk,1
R005,WD,R005-1-WD-025,Larch Walk,1
R005,WD,R005-1-WD-026,Larch Walk,1
R005,WD,R005-1-WD-027,Larch Walk,1
R005,WD,R005-1-WD-028,Larch Walk,1
R005,WD,R005-1-WD-029,Larch Walk,1
R005,WD,R005-1-WD-030,Larch Walk,1
R005,WD,R005-1-WD-031,Larch Walk,1
R005,WD,R005-1-WD-032,Larch Walk,1
R005,WD,R005-1-WD-033,Larch Walk,1
R005,WD,R005-1-WD-034,Larch Walk,1
R005,WD,R005-1-WD-035,Larch Walk,1
R005,WD,R005-1-WD-036,Larch Walk,1
R005,WD,R005-1-WD-037,Larch Walk,1
R005,WD,R005-1-WD-038,Larch Walk,1
R005,WD,R005-1-WD-039,Larch Walk,1
R005,WD,R005-1-WD-040,Larch Walk,1
R005,WD,R005-1-WD-041,Larch Walk,1
R005,WD,R005-1-WD-042,Larch Walk,1
R005,WD,R005-1-WD-043,Larch Walk,1
R005,WD,R005-1-WD-044,Larch Walk,1
R005,WD,R005-1-WD-045,Larch Walk,1
R005,WD,R005-1-WD-046,Larch Walk,1
R005,WD,R005-1-WD-047,Larch Walk,1
R005,WD,R005-1-WD-048,Larch Walk,1
R005,WD,R005-1-WD-049,Larch Walk,1
R005,WE,R005-0-WE-001,Hillcrest Park,0
R005,WE,R005-0-WE-002,Hillcrest Park,0
R005,WE,R005-0-WE-003,Hillcrest Park,0
R005,WE,R005-0-WE-004,Hillcrest Park,0
R005,WE,R005-0-WE-005,Hillcrest Park,0
R005,WE,R005-0-WE-006,Hillcrest Park,0
R005,WE,R005-0-WE-007,Hillcrest Park,0
R005,WE,R005-0-WE-008,Hillcrest Park,0
R005,WE,R005-0-WE-009,Hillcrest Park,0
R005,WE,R005-0-WE-010,Hillcrest Park,0
R005,WE,R005-0-WE-011,Hillcrest Park,0
R005,WE,R005-0-WE-012,Hillcrest Park,0
R005,WE,R005-0-WE-013,Hillcrest Park,0
R005,WE,R005-0-WE-014,Hillcrest Park,0
R005,WE,R005-0-WE-015,Hillcrest Park,0
R005,WE,R005-0-WE-016,Hillcrest Park,0
R005,WE,R005-0-WE-017,Hillcrest Park,0
R005,WE,R005-0-WE-018,Hillcrest Park,0
R005,WE,R005-0-WE-019,Hillcrest Park,0
R005,WE,R005-0-WE-020,Hillcrest Park,0
R005,WE,R005-0-WE-021,Hillcrest Park,0
R005,WE,R005-0-WE-022,Hillcrest Park,0
R005,WE,R005-0-WE-023,Hillcrest Park,0
R005,WE,R005-0-WE-024,Hillcrest Park,0
R005,WE,R005-0-WE-025,Hillcrest Park,0
R005,WE,R005-0-WE-026,Hillcrest Park,0
R005,WE,R005-0-WE-027,Hillcrest Park,0
R005,WE,R005-0-WE-028,Hillcrest Park,0
R005,WE,R005-0-WE-029,Hillcrest Park,0
R005,WE,R005-0-WE-030,Hillcrest Park,0
R005,WE,R005-0-WE-031,Hillcrest Park,0
R005,WE,R005-0-WE-032,Hillcrest Park,0
